device=gpu kind=NVIDIA A100-SXM4-40GB
loading datasets...
train=(4096, 64, 64, 3), val=(512, 64, 64, 3)
=== RGB E2E CNN Experiment ===
train_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
valid_npz=/lustre06/project/6102186/liamfitz/fouriax/experiments/data/cartoon_faces_nx64_shards
grids: sensor=64x64 @ 0.60 um, meta/field=64x64 @ 0.60 um
wavelengths_um=[1.3       1.1304348 1.       ]
epochs=50, batch_size=64, optical_lr=5.00e-03, decoder_lr=1.00e-03
optimizing...
epoch=001/050 batches=64 elapsed=0.03s
  batch=001/064 train_loss=0.090514 batch_time=58.16s elapsed=58.20s
  batch=002/064 train_loss=48.643139 batch_time=0.15s elapsed=58.35s
  batch=003/064 train_loss=0.058952 batch_time=0.15s elapsed=58.49s
  batch=004/064 train_loss=0.082742 batch_time=0.13s elapsed=58.63s
  batch=005/064 train_loss=0.069042 batch_time=0.13s elapsed=58.75s
  batch=006/064 train_loss=0.060199 batch_time=0.13s elapsed=58.88s
  batch=007/064 train_loss=0.151677 batch_time=0.13s elapsed=59.00s
  batch=008/064 train_loss=0.062369 batch_time=0.13s elapsed=59.13s
  batch=009/064 train_loss=0.062950 batch_time=0.13s elapsed=59.26s
  batch=010/064 train_loss=0.066427 batch_time=0.13s elapsed=59.38s
  batch=011/064 train_loss=0.063953 batch_time=0.13s elapsed=59.51s
  batch=012/064 train_loss=0.064557 batch_time=0.13s elapsed=59.64s
  batch=013/064 train_loss=0.066256 batch_time=0.13s elapsed=59.76s
  batch=014/064 train_loss=0.060159 batch_time=0.13s elapsed=59.89s
  batch=015/064 train_loss=0.060491 batch_time=0.13s elapsed=60.01s
  batch=016/064 train_loss=0.061425 batch_time=0.13s elapsed=60.14s
  batch=017/064 train_loss=0.062741 batch_time=0.13s elapsed=60.27s
  batch=018/064 train_loss=0.056573 batch_time=0.13s elapsed=60.39s
  batch=019/064 train_loss=0.062934 batch_time=0.13s elapsed=60.52s
  batch=020/064 train_loss=0.056205 batch_time=0.13s elapsed=60.64s
  batch=021/064 train_loss=0.054651 batch_time=0.13s elapsed=60.77s
  batch=022/064 train_loss=0.060193 batch_time=0.13s elapsed=60.90s
  batch=023/064 train_loss=0.060235 batch_time=0.13s elapsed=61.02s
  batch=024/064 train_loss=0.059779 batch_time=0.13s elapsed=61.15s
  batch=025/064 train_loss=0.060540 batch_time=0.13s elapsed=61.27s
  batch=026/064 train_loss=0.056874 batch_time=0.13s elapsed=61.40s
  batch=027/064 train_loss=0.055804 batch_time=0.13s elapsed=61.52s
  batch=028/064 train_loss=0.052197 batch_time=0.13s elapsed=61.65s
